depth,expected_energy,model_version,parameter_index,restart,round,seed,stage,step,value
2,-0.21184101386213916,base,1,,3,11,coordinate_descent,0.075,-0.1970016515862183
2,-0.21184101386213916,base,1,,3,11,coordinate_descent,0.075,-0.1960727157462413
2,-0.21184101386213916,base,2,,3,11,coordinate_descent,0.075,-0.11667538339856674
2,-0.21184101386213916,base,2,,3,11,coordinate_descent,0.075,-0.20851850779159165
2,-0.21184101386213916,base,3,,3,11,coordinate_descent,0.075,-0.2034805375647032
2,-0.21184101386213916,base,3,,3,11,coordinate_descent,0.075,-0.15451510250966888
2,-0.21184101386213916,base,0,,4,11,coordinate_descent,0.0375,-0.20745575040649486
2,-0.21184101386213916,base,0,,4,11,coordinate_descent,0.0375,-0.20948770510017248
2,-0.21184101386213916,base,1,,4,11,coordinate_descent,0.0375,-0.20962708862354928
2,-0.21184101386213916,base,1,,4,11,coordinate_descent,0.0375,-0.20948770510017248
2,-0.21184101386213916,base,2,,4,11,coordinate_descent,0.0375,-0.21184101386213916
2,-0.21184101386213916,base,2,,4,11,coordinate_descent,0.0375,-0.20962708862354928
2,-0.21184101386213916,base,3,,4,11,coordinate_descent,0.0375,-0.2024340636778892
2,-0.21184101386213916,base,3,,4,11,coordinate_descent,0.0375,-0.2081794588214705
2,-0.23231949306355898,base,,0,,19,restart,,0.06486077336089212
2,-0.23231949306355898,base,,1,,19,restart,,0.06816930421475112
2,-0.23231949306355898,base,,2,,19,restart,,0.7641284383746905
2,-0.23231949306355898,base,,3,,19,restart,,-0.13757611668238823
2,-0.23231949306355898,base,,4,,19,restart,,0.15729188720396758
2,-0.23231949306355898,base,,5,,19,restart,,0.5793398697237081
2,-0.23231949306355898,base,,6,,19,restart,,0.6662913661748906
2,-0.23231949306355898,base,,7,,19,restart,,0.5637209909661784
2,-0.23231949306355898,base,,8,,19,restart,,0.15079115152043268
2,-0.23231949306355898,base,,9,,19,restart,,0.8724544522426139
2,-0.23231949306355898,base,,10,,19,restart,,0.4155828974227359
2,-0.23231949306355898,base,,11,,19,restart,,-0.1871687634113882
2,-0.23231949306355898,base,0,,0,19,coordinate_descent,0.6,-0.15697202544483346
2,-0.23231949306355898,base,0,,0,19,coordinate_descent,0.6,-0.10485831345172171
2,-0.23231949306355898,base,1,,0,19,coordinate_descent,0.6,-0.1591562212451121
2,-0.23231949306355898,base,1,,0,19,coordinate_descent,0.6,-0.19701101216645217
2,-0.23231949306355898,base,2,,0,19,coordinate_descent,0.6,-0.19209681148474467
2,-0.23231949306355898,base,2,,0,19,coordinate_descent,0.6,-0.19990228940624913
2,-0.23231949306355898,base,3,,0,19,coordinate_descent,0.6,0.8903772792231133
2,-0.23231949306355898,base,3,,0,19,coordinate_descent,0.6,0.672542947444824
2,-0.23231949306355898,base,0,,1,19,coordinate_descent,0.3,-0.17544689825370924
2,-0.23231949306355898,base,0,,1,19,coordinate_descent,0.3,-0.21078540606783236
2,-0.23231949306355898,base,1,,1,19,coordinate_descent,0.3,-0.21650982208399605
2,-0.23231949306355898,base,1,,1,19,coordinate_descent,0.3,-0.21078540606783236
2,-0.23231949306355898,base,2,,1,19,coordinate_descent,0.3,-0.22232981282989472
2,-0.23231949306355898,base,2,,1,19,coordinate_descent,0.3,-0.21650982208399605
2,-0.23231949306355898,base,3,,1,19,coordinate_descent,0.3,0.22975197257176283
2,-0.23231949306355898,base,3,,1,19,coordinate_descent,0.3,0.10237475924162223
2,-0.23231949306355898,base,0,,2,19,coordinate_descent,0.15,-0.21413136275720374
2,-0.23231949306355898,base,0,,2,19,coordinate_descent,0.15,-0.2264494303892214
2,-0.23231949306355898,base,1,,2,19,coordinate_descent,0.15,-0.22495899722871737
2,-0.23231949306355898,base,1,,2,19,coordinate_descent,0.15,-0.2272192519018229
2,-0.23231949306355898,base,2,,2,19,coordinate_descent,0.15,-0.20491484739009966
2,-0.23231949306355898,base,2,,2,19,coordinate_descent,0.15,-0.22832252071229997
